"ID","Survey_year","Weight","Age","Gender","TRACE","Region","Family_type","Parents_college","Poverty","Language_home","SNAP","TANF","SSI","Repeated_grade","Suspended_expelled","Gifted_class","Cares_about_school","Does_homework","Sports","Clubs","Lessons","After_school_program","Religion_event","Any_extracurricular"
"2018_13345043118_401_2021",2021,2512.1903446,10,"Male",2,3,2,0,1,"English only",1,0,0,0,0,0,3,1,1,0,0,0,4,1
"2018_28513895718_103_2021",2021,11131.002115,15,"Male",1,1,1,NA,0,"English only",1,1,0,0,1,0,4,4,0,0,0,NA,1,0
"2018_41803780418_105_2021",2021,6869.515499,16,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,1,0,NA,2,1
"2018_41808644918_103_2021",2021,4523.7196319,14,"Male",1,3,1,1,0,"English only",0,0,0,0,0,1,1,4,1,0,0,0,2,1
"2018_41819923318_105_2021",2021,8633.4089991,13,"Male",7,3,1,1,1,"English only",1,0,0,0,0,0,1,1,0,0,0,0,2,0
"2018_41819923318_106_2021",2021,9858.2236028,8,"Male",7,3,1,1,1,"English only",1,0,0,0,0,0,2,2,0,0,0,0,2,0
"2018_41819923318_107_2021",2021,9858.2236028,8,"Male",7,3,1,1,1,"English only",1,0,0,0,0,0,1,1,0,0,0,0,2,0
"2018_41820990518_104_2021",2021,4409.5557971,12,"Female",1,3,2,1,0,"English only",0,0,0,0,0,0,1,1,1,0,0,0,1,1
"2018_41820990518_105_2021",2021,4530.0067799,10,"Female",1,3,2,1,0,"English only",0,0,0,0,0,0,1,1,1,0,0,0,1,1
"2018_41822819718_104_2021",2021,5479.615184,15,"Male",1,3,1,0,0,"English only",0,0,0,0,0,0,3,1,0,0,0,NA,1,0
"2018_41822819718_105_2021",2021,6387.0417627,11,"Female",1,3,1,0,0,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_41822820718_104_2021",2021,5723.9369807,10,"Male",1,3,1,0,1,"Other language",0,0,0,0,0,0,1,1,0,0,0,0,4,0
"2018_41822820718_105_2021",2021,5811.2038681,8,"Male",1,3,1,0,1,"Other language",0,0,0,0,0,0,1,1,0,0,0,0,4,0
"2018_41822894418_102_2021",2021,4727.1379636,7,"Male",6,3,2,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,0,1,0
"2018_41822894418_401_2021",2021,5662.6296944,14,"Female",1,3,3,0,1,"English only",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_41827656618_103_2021",2021,4940.5684724,9,"Female",1,4,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,0,1,0,1,1
"2018_41827656618_104_2021",2021,3993.167912,6,"Male",1,4,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,0,1,0,1,1
"2018_41828554918_402_2021",2021,3849.1423169,10,"Male",6,2,2,1,0,"English only",0,0,0,0,0,0,1,3,1,1,1,0,4,1
"2018_41829417418_103_2021",2021,6954.26721,14,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,4,1,0,0,0,0,1,0
"2018_41829417418_104_2021",2021,6940.9666283,12,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_41829417418_401_2021",2021,6262.6076623,15,"Male",7,3,NA,NA,NA,"English only",0,0,0,0,0,0,4,1,0,0,0,NA,1,0
"2018_41830317318_103_2021",2021,4782.1547965,14,"Male",8,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,0,0,0,2,1
"2018_41830317318_104_2021",2021,6270.4803166,11,"Female",8,3,1,1,0,"English only",0,0,0,1,0,0,1,1,1,0,0,0,2,1
"2018_41833482818_102_2021",2021,4157.0269666,13,"Male",7,2,2,NA,0,"English only",0,0,0,0,0,0,2,2,1,0,0,0,1,1
"2018_41834288718_302_2021",2021,9269.6666149,16,"Female",3,NA,2,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018_41834288718_303_2021",2021,8932.802193,12,"Male",3,NA,2,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018_41840647718_103_2021",2021,3908.8340311,6,"Male",1,2,2,0,0,"English only",0,0,0,0,0,0,2,2,1,0,0,1,3,1
"2018_41841890518_103_2021",2021,8474.0579995,16,"Female",3,3,2,1,0,"English only",0,0,0,0,0,0,2,1,1,0,0,NA,2,1
"2018_41841890518_104_2021",2021,8474.0579995,12,"Female",3,3,2,1,0,"English only",0,0,0,0,0,1,3,3,1,0,0,0,2,1
"2018_41849408618_103_2021",2021,6498.0498092,6,"Female",10,3,1,1,0,"English only",0,0,0,0,0,1,1,1,0,1,1,0,1,1
"2018_41850149418_103_2021",2021,5000.7370413,15,"Female",7,3,1,NA,0,"English only",0,0,0,0,0,1,3,3,0,1,0,NA,4,1
"2018_41850165518_401_2021",2021,3344.2906607,16,"Female",7,3,2,NA,1,"English only",1,0,0,0,0,0,3,1,0,0,0,NA,1,0
"2018_41850165518_402_2021",2021,3771.2052431,10,"Female",7,3,2,NA,1,"English only",1,0,0,1,0,0,2,1,0,0,0,0,1,0
"2018_41853329118_104_2021",2021,8158.9821378,17,"Female",7,3,1,1,0,"English only",0,0,0,0,0,0,2,2,0,0,1,NA,4,1
"2018_41853329118_105_2021",2021,7862.4805574,12,"Male",7,3,1,1,0,"English only",0,0,0,1,0,1,1,1,1,0,1,0,4,1
"2018_41860602918_103_2021",2021,6392.2246057,6,"Male",1,3,1,0,0,"English only",1,0,0,0,0,0,4,4,0,0,0,0,1,0
"2018_41863569218_103_2021",2021,8492.225166,17,"Female",1,2,1,1,1,"Other language",1,0,0,0,0,0,1,1,0,0,0,NA,1,0
"2018_41863569218_104_2021",2021,7046.4045372,10,"Male",1,2,1,1,1,"Other language",1,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_41868820718_102_2021",2021,2776.9258653,16,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,NA,4,0
"2018_41868820718_103_2021",2021,3765.9659698,12,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,2,1,1,0,0,0,4,1
"2018_41868965518_103_2021",2021,4215.7485655,17,"Male",1,3,1,0,0,"Other language",0,0,0,0,0,0,1,1,1,0,0,NA,4,1
"2018_41868965518_104_2021",2021,4672.4443685,12,"Male",1,3,1,0,0,"Other language",0,0,0,0,0,0,1,1,1,0,0,0,4,1
"2018_41868965518_105_2021",2021,4672.4443685,11,"Male",1,3,1,0,0,"Other language",0,0,0,0,0,0,1,1,1,0,0,0,4,1
"2018_41875508618_401_2021",2021,2955.6186,15,"Male",7,3,1,0,0,"English only",1,0,1,1,0,0,3,3,0,0,0,0,1,0
"2018_41875528318_103_2021",2021,7339.1493831,15,"Male",1,3,2,0,1,"Other language",1,0,0,1,0,0,1,3,1,0,1,0,4,1
"2018_41875528318_104_2021",2021,10054.029498,16,"Female",1,3,2,0,1,"Other language",1,0,0,0,0,0,1,1,1,0,1,NA,4,1
"2018_41884793218_103_2021",2021,4198.610847,13,"Male",1,2,1,NA,0,"English only",0,0,0,0,0,1,2,1,1,0,1,0,2,1
"2018_41892529418_104_2021",2021,7102.5722174,12,"Male",1,3,1,0,0,"Other language",0,0,0,0,0,0,1,1,0,0,0,0,2,0
"2018_41892529418_105_2021",2021,7866.4233439,7,"Male",1,3,1,0,0,"Other language",0,0,0,0,0,0,2,2,0,0,0,0,2,0
"2018_41893217418_103_2021",2021,1913.1407498,10,"Male",1,3,2,0,1,"English only",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_41893268918_103_2021",2021,3994.2255509,16,"Male",1,3,1,1,0,"English only",0,0,0,1,1,0,3,2,0,0,1,NA,1,1
"2018_41893268918_104_2021",2021,6051.3968648,11,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,0,1,0
"2018_41894593218_401_2021",2021,4836.9529596,10,"Female",1,2,2,NA,0,"English only",0,0,0,0,0,0,1,1,0,1,0,0,4,1
"2018_41896729118_103_2021",2021,3473.746593,7,"Female",3,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,0,1,0,4,1
"2018_41899528318_104_2021",2021,4861.0153685,16,"Female",3,3,1,1,0,"English only",0,0,0,1,0,0,1,1,1,0,0,NA,2,1
"2018_41899528318_105_2021",2021,3707.2324266,13,"Male",3,3,1,1,0,"English only",0,0,1,0,0,0,2,1,1,0,0,0,2,1
"2018_41899550218_105_2021",2021,7034.4343344,14,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,1,0,0,4,1
"2018_81602163018_302_2021",2021,2668.6459256,10,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,3,1,1,0,0,0,4,1
"2018_81602163018_303_2021",2021,3538.9603081,9,"Female",1,3,1,1,0,"English only",0,0,0,1,0,0,3,1,0,0,0,0,4,0
"2018_81682411618_103_2021",2021,5214.9421783,13,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_81682411618_104_2021",2021,7488.4195818,11,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_81682411618_105_2021",2021,8529.7751092,8,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_86002163018_104_2021",2021,5197.288347,14,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,4,0
"2018_86002166018_104_2021",2021,5436.0892049,6,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,2,2,1,0,0,0,4,1
"2018_86013511618_103_2021",2021,7618.780136,12,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,1,1,0,4,1
"2018_86013511618_104_2021",2021,5440.2312402,11,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,0,4,0
"2018_86013596718_103_2021",2021,5211.8297036,10,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,1,0,1,1
"2018_86013596718_104_2021",2021,5421.6641406,8,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,1,0,1,1
"2018_86018599418_104_2021",2021,8460.2101551,15,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,2,1,1,1,0,NA,4,1
"2018_86019968918_105_2021",2021,5743.7001811,13,"Female",1,3,1,1,1,"English only",0,0,0,0,0,1,2,1,1,0,0,0,4,1
"2018_86022823518_103_2021",2021,5052.6732508,17,"Female",4,1,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,1,0,NA,1,1
"2018_86022823518_104_2021",2021,5952.0633983,16,"Male",4,1,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,0,0,NA,1,0
"2018_86027485218_102_2021",2021,6480.2832615,17,"Female",1,3,2,0,0,"English only",0,0,0,0,1,1,1,1,0,0,0,NA,1,0
"2018_86032077818_104_2021",2021,4565.7325693,13,"Male",1,4,2,0,0,"English only",1,0,0,0,0,0,2,2,0,0,0,0,1,0
"2018_86033429418_401_2021",2021,6133.8284472,8,"Male",1,3,NA,NA,NA,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_86033498818_103_2021",2021,3887.3797814,17,"Female",3,4,1,1,1,"English only",1,0,0,0,0,0,1,1,0,0,1,NA,4,1
"2018_86033498818_104_2021",2021,3052.9205765,13,"Male",3,4,1,1,1,"English only",1,0,0,0,0,0,4,3,0,0,0,0,4,0
"2018_86040025918_103_2021",2021,7426.6582543,15,"Female",2,3,2,0,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_86040083118_103_2021",2021,6160.449036,8,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,1,0,1,0,4,1
"2018_86040636518_102_2021",2021,4168.8374192,16,"Female",1,NA,2,1,0,NA,0,1,0,0,0,0,2,2,0,0,0,NA,4,0
"2018_86040636518_103_2021",2021,4551.2861983,15,"Female",1,4,2,1,0,"English only",0,1,0,0,0,0,3,1,0,0,0,0,4,0
"2018_86040677818_104_2021",2021,6949.4622562,13,"Female",1,4,3,1,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_86041825818_201_2021",2021,6721.7106539,10,"Male",1,1,1,1,0,"English only",0,0,0,1,0,0,1,2,1,0,1,0,1,1
"2018_86043863818_103_2021",2021,2042.797998,16,"Male",1,4,1,1,0,"English only",0,0,0,1,1,0,2,2,1,0,1,NA,1,1
"2018_86043863818_104_2021",2021,2854.0503464,15,"Male",1,4,1,1,0,"English only",0,0,0,1,1,1,1,1,1,0,1,NA,1,1
